iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_number_of_people,e_waste_tons_year,total_waste_generated
VGB,LCN,British Virgin Islands,HIC,24215.88281,6.5,18.1,8.6,4.8,33.5,6.3,Yes,Yes,Yes,20645,NA,21099.19
VIR,LCN,Virgin Islands (U.S.),HIC,30436.56445,46,7,7,12,15,13,Yes,Yes,NA,105784,NA,146500
VNM,EAS,Vietnam,LMC,5089.411133,61.9,2.18,0.58,15.18,5.2,12.15,Yes,Yes,NA,86932496,141000,9570300
VUT,EAS,Vanuatu,LMC,3061.787354,73.4,5.4,3.8,5.7,4.05,6.45,Yes,Yes,NA,270402,300,70225.489
WSM,EAS,Samoa,UMC,6210.983398,42.6,2.2,8.8,19.4,7.2,13,Yes,Yes,Yes,187665,500,27399.09
XKX,ECS,Kosovo,LMC,9723.561523,42,6,6,20,8,11,Yes,Yes,NA,1801800,23,319000
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,65,1,6,6,7,10,Yes,Yes,NA,27584212,42000,4836820
ZAF,SSF,South Africa,UMC,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,Yes,Yes,NA,51729344,321000,18457232
ZMB,SSF,Zambia,LMC,3201.289307,NA,NA,NA,NA,NA,NA,NA,Yes,NA,14264756,15000,2608268
ZWE,SSF,Zimbabwe,LIC,3190.506592,36,5,6,3,27,23,NA,Yes,NA,12500525,13000,1449752
